Bandit,Reward,Algorithm
3,2.9135203519619255,ThompsonSamplingBandit
3,3.812230317829075,ThompsonSamplingBandit
3,2.0976485684955612,ThompsonSamplingBandit
3,4.079156745210999,ThompsonSamplingBandit
3,5.817880458060901,ThompsonSamplingBandit
3,5.4233789317818974,ThompsonSamplingBandit
3,5.053186697704872,ThompsonSamplingBandit
3,3.3607770885637094,ThompsonSamplingBandit
3,3.619161393973439,ThompsonSamplingBandit
3,4.128080900860071,ThompsonSamplingBandit
3,4.17968135015023,ThompsonSamplingBandit
3,2.375588604464924,ThompsonSamplingBandit
3,3.461908441432528,ThompsonSamplingBandit
3,5.436792639896307,ThompsonSamplingBandit
3,3.0490025762108903,ThompsonSamplingBandit
3,3.21795903233363,ThompsonSamplingBandit
3,4.0177378697247565,ThompsonSamplingBandit
3,3.5827641388281943,ThompsonSamplingBandit
3,5.031318441358037,ThompsonSamplingBandit
3,1.4154398945266853,ThompsonSamplingBandit
3,4.751477219111067,ThompsonSamplingBandit
3,3.887413051616302,ThompsonSamplingBandit
3,3.239521781990446,ThompsonSamplingBandit
3,2.459393985110727,ThompsonSamplingBandit
3,4.231892771704729,ThompsonSamplingBandit
3,3.375151809256736,ThompsonSamplingBandit
3,2.224943531172993,ThompsonSamplingBandit
3,4.330424357982485,ThompsonSamplingBandit
3,3.0949134032219368,ThompsonSamplingBandit
3,4.647254861152092,ThompsonSamplingBandit
3,4.131614403931517,ThompsonSamplingBandit
3,5.785487723915017,ThompsonSamplingBandit
3,5.637973603248968,ThompsonSamplingBandit
3,4.057658006403507,ThompsonSamplingBandit
3,3.8229567366954322,ThompsonSamplingBandit
3,4.1128767212216255,ThompsonSamplingBandit
3,2.5359226573663403,ThompsonSamplingBandit
3,5.3736614119347,ThompsonSamplingBandit
3,4.773920928460129,ThompsonSamplingBandit
3,6.359878614243805,ThompsonSamplingBandit
3,2.632627248032173,ThompsonSamplingBandit
3,3.415336894337989,ThompsonSamplingBandit
3,4.904127290895461,ThompsonSamplingBandit
3,5.341700692038296,ThompsonSamplingBandit
3,3.7144944629168495,ThompsonSamplingBandit
3,4.866669820222511,ThompsonSamplingBandit
3,3.5901155835206486,ThompsonSamplingBandit
3,3.4867252429873052,ThompsonSamplingBandit
3,5.1924379845126705,ThompsonSamplingBandit
3,4.845283933614122,ThompsonSamplingBandit
3,4.220417497027826,ThompsonSamplingBandit
3,3.9347949320268247,ThompsonSamplingBandit
3,3.7155842915169526,ThompsonSamplingBandit
3,5.817601565942683,ThompsonSamplingBandit
3,6.314353931652837,ThompsonSamplingBandit
3,4.59154777339352,ThompsonSamplingBandit
3,5.913284632733404,ThompsonSamplingBandit
3,3.847420374724374,ThompsonSamplingBandit
3,4.5468909422200285,ThompsonSamplingBandit
3,3.927184343355726,ThompsonSamplingBandit
3,4.70971908789786,ThompsonSamplingBandit
3,3.8873427503814635,ThompsonSamplingBandit
3,4.766456924288181,ThompsonSamplingBandit
3,4.158868103889726,ThompsonSamplingBandit
3,3.0028518326616886,ThompsonSamplingBandit
3,3.4851560029972624,ThompsonSamplingBandit
3,4.316110375384883,ThompsonSamplingBandit
3,4.007102140017378,ThompsonSamplingBandit
3,4.300727231943676,ThompsonSamplingBandit
3,2.524229503722084,ThompsonSamplingBandit
3,4.125546154712721,ThompsonSamplingBandit
3,1.739906847588224,ThompsonSamplingBandit
3,3.6385945766789916,ThompsonSamplingBandit
3,4.054135401886697,ThompsonSamplingBandit
3,4.003085669537197,ThompsonSamplingBandit
3,4.535314010618904,ThompsonSamplingBandit
3,2.501935321409007,ThompsonSamplingBandit
3,3.5059697422576703,ThompsonSamplingBandit
3,5.016525996662343,ThompsonSamplingBandit
3,4.5161142293117305,ThompsonSamplingBandit
3,4.276220393338429,ThompsonSamplingBandit
3,6.482746482386085,ThompsonSamplingBandit
3,2.8185023080615776,ThompsonSamplingBandit
3,4.038825561268456,ThompsonSamplingBandit
3,2.2334086249506724,ThompsonSamplingBandit
3,3.422639625947655,ThompsonSamplingBandit
3,3.5303647516604113,ThompsonSamplingBandit
3,3.860561645874334,ThompsonSamplingBandit
3,4.466321218270076,ThompsonSamplingBandit
3,3.1855586241918097,ThompsonSamplingBandit
3,3.4885867490391216,ThompsonSamplingBandit
3,5.406643734887924,ThompsonSamplingBandit
3,4.564950436107971,ThompsonSamplingBandit
3,4.436104147701506,ThompsonSamplingBandit
3,3.6397728143870722,ThompsonSamplingBandit
3,3.7075238014771923,ThompsonSamplingBandit
3,2.4446802245390566,ThompsonSamplingBandit
